run_id,benchmark,topology,num_agents,num_events,num_claim_nodes,num_claim_edges,num_agent_edges,num_root_claims,num_final_claims,num_placeholder_claims,max_out_degree,max_in_degree,max_claim_depth,mean_claim_depth
GAIA__full_mesh__n128__s1__5188369a-3bbe-43d8-8b94-11558f909a08,GAIA,full_mesh,128,161,160,4192,594,2,1,125,33,128,3,1.457
GAIA__full_mesh__n128__s1__676e5e31-a554-4acc-9286-b60d90a92d26,GAIA,full_mesh,128,161,161,4192,4192,128,1,0,33,128,3,0.317
GAIA__full_mesh__n128__s1__bec74516-02fc-48dc-b202-55e78d0e17cf,GAIA,full_mesh,128,161,161,4192,4192,128,1,0,33,128,3,0.317
GAIA__full_mesh__n128__s1__e8cb5b03-41e0-4086-99e5-f6806cd97211,GAIA,full_mesh,128,161,161,4192,4192,128,1,0,33,128,3,0.317
GAIA__full_mesh__n128__s2__04a04a9b-226c-43fd-b319-d5e89743676f,GAIA,full_mesh,128,161,161,4192,4192,128,1,0,33,128,3,0.317
GAIA__full_mesh__n128__s2__5188369a-3bbe-43d8-8b94-11558f909a08,GAIA,full_mesh,128,161,160,4192,918,15,1,112,33,128,3,1.062
GAIA__full_mesh__n128__s2__676e5e31-a554-4acc-9286-b60d90a92d26,GAIA,full_mesh,128,161,161,4192,4192,128,1,0,33,128,3,0.317
GAIA__full_mesh__n128__s2__bec74516-02fc-48dc-b202-55e78d0e17cf,GAIA,full_mesh,128,161,161,4192,4192,128,1,0,33,128,3,0.317
GAIA__full_mesh__n128__s2__e8cb5b03-41e0-4086-99e5-f6806cd97211,GAIA,full_mesh,128,161,161,4192,2184,59,1,69,33,128,3,0.554
GAIA__full_mesh__n16__s0__04a04a9b-226c-43fd-b319-d5e89743676f,GAIA,full_mesh,16,37,37,316,211,16,1,0,21,16,3,0.892
GAIA__full_mesh__n16__s0__5188369a-3bbe-43d8-8b94-11558f909a08,GAIA,full_mesh,16,37,37,316,211,16,1,0,21,16,3,0.892
GAIA__full_mesh__n16__s0__676e5e31-a554-4acc-9286-b60d90a92d26,GAIA,full_mesh,16,37,37,316,211,16,1,0,21,16,3,0.892
GAIA__full_mesh__n16__s0__bec74516-02fc-48dc-b202-55e78d0e17cf,GAIA,full_mesh,16,37,37,316,211,16,1,0,21,16,3,0.892
